barcode,source_product_name,source_line,gtin_check_digit_valid
8693275000107,COTANAK AYCICEK YAGI 1LT.,2,True
8693855001609,FRESA FRESHER MADEN SUYU 250ML.MANDALIN,3,True
8693855001548,FRESA FRESHER MADEN SUYU 250ML.NAR,4,True
8690380004006,IRMAK 5KG TOZ SEKER,5,True
8693835060046,ISIL SALAMURA TUZU 3000GR.,6,True
7622210197863,KENT JELIBON 90GR.MINNIE MOUSE,7,True
8692813003914,KIZILAY SODA 200ML.MANDALINA,8,True
8692813002023,KIZILAY SODA 200ML.NAR,9,True
8692813003792,KIZILAY SODA 200ML.VıSNE,10,True
8690681205454,MARET SALAM 250GR.YORE HINDI,11,True
860946110004,MUTLU MAKARNA 500GR. FıYONK,12,False
8690632013855,NESTLE COFFEE MATE 625GR.EKO PK,13,True
8690828000300,OBA MAKARNA 500GR.BONCUK,14,True
8690828000898,OBA MAKARNA 500GR.ERISTE,15,True
8690828000232,OBA MAKARNA 500GR.YILDIZ SEHRIYE,16,True
8690504182962,OBACAY FILIZIM 500GR.,17,True
8690368025016,OFCAY DOSTANE 1000GR.,18,True
8690368029168,OFCAY HAZINE CAY 1000GR.,19,True
8690368024026,OFCAY SAHANE 1000GR.,20,True
8690368024019,OFCAY SAHANE 500GR.,21,True
